"기상개황별(1)",기상개황별(2),2021. 07,2021. 08,2021. 09,2021. 10,2021. 11,2021. 12
"기온 (℃)",평균,28.1,25.9,22.6,15.6,8.2,0.6
"기온 (℃)",평균최고,32.2,29.7,26.9,20.5,13.1,5.1
"기온 (℃)",극점최고,36.5,33.7,30.3,28.8,21.3,13.3
"기온 (℃)",평균최저,24.6,22.8,18.8,11.6,4.0,-3.5
"기온 (℃)",극점최저,19.6,18.1,16.0,1.3,-3.7,-15.5
"강수량 (mm)",소계,168.3,211.2,131.0,57.0,62.4,7.9
"상대습도 (%)",평균,71.0,74.0,71.0,70.0,68.0,62.0
"상대습도 (%)",최소,37.0,39.0,38.0,25.0,27.0,26.0
"평균해면기압 (hpa)",소계,1007.7,1008.2,1013.3,1021.2,1019.6,1025.2
"이슬점온도 (℃)",소계,21.9,20.5,16.6,9.6,2.2,-6.4
"평균운량 (10%)",소계,5.9,7.0,5.4,4.7,4.2,3.2
"일조시간 (hr)",소계,195.2,127.3,182.0,168.4,163.6,185.4
"최심신적설 (㎝)",소계,-,-,-,-,-,4.4
"바람 (m/s)",평균풍속,2.0,2.1,2.3,2.1,2.1,2.3
"바람 (m/s)",최대풍속,7.4,8.3,7.1,10.6,9.3,8.1
"바람 (m/s)",최대순간풍속,16.5,16.4,12.5,20.9,16.6,15